URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,article:section,article:summary,article text,@id,@context,@type,publisher,headline,image,datePublished,dateModified,author,isAccessibleForFree,hasPart,mainEntityOfPage,itemListElement,url,logo,@graph,audio,isPartOf,breadcrumb,potentialAction
https://news.google.com/rss/articles/CBMie2h0dHBzOi8vYWN0dWFsaXR0ZS5jb20vYXJ0aWNsZS85ODk1Mi90ZWNobm9sb2dpZS91bmUtYmFiZWwtYS1sLWVyZS1kZS1sLWludGVsbGlnZW5jZS1hcnRpZmljaWVsbGUtbGEtdHJhZHVjdGlvbi1hdXRvbWF0aXF1ZdIBAA?oc=5,Une Babel à l'ère de l'Intelligence artificielle : la traduction automatique - ActuaLitté,2021-02-18,ActuaLitté,https://actualitte.com,Magazine littéraire pour professionnels et curieux : les univers de l'édition décryptés à travers l'actualité du livre et ses acteurs. Rencontre de Gutenberg et du numérique.,N/A,"Dans nos soci&eacute;t&eacute;s qui pr&ocirc;nent le libre-&eacute;change, la traduction automatique est une des ambitions internationales &agrave; l&rsquo;&eacute;tablissement d&rsquo;une nouvelle Babel. Cette technique soul&egrave;ve des interrogations &eacute;thiques et &eacute;conomiques, car elle est li&eacute;e &agrave; l&rsquo;Intelligence artificielle, mais concilier l&rsquo;humain et l&rsquo;informatique a toujours fait fr&eacute;mir tout en inspirant largement. L&rsquo;attrait autour de cette question augmente et nourrit des pol&eacute;miques, notamment dans les professions li&eacute;es aux langues. Alors, la traduction automatique au sein de l&rsquo;&eacute;dition, &ccedil;a donne quoi ?&nbsp;","Dans nos soci&eacute;t&eacute;s qui pr&ocirc;nent le libre-&eacute;change, la traduction automatique est une des ambitions internationales &agrave; l&rsquo;&eacute;tablissement d&rsquo;une nouvelle Babel. Cette technique soul&egrave;ve des interrogations &eacute;thiques et &eacute;conomiques, car elle est li&eacute;e &agrave; l&rsquo;Intelligence artificielle, mais concilier l&rsquo;humain et l&rsquo;informatique a toujours fait fr&eacute;mir tout en inspirant largement. L&rsquo;attrait autour de cette question augmente et nourrit des pol&eacute;miques, notamment dans les professions li&eacute;es aux langues. Alors, la traduction automatique au sein de l&rsquo;&eacute;dition, &ccedil;a donne quoi ?&nbsp;",N/A,N/A,N/A,,https://schema.org,NewsArticle,,Une Babel à l’ère de l’Intelligence artificielle : la traduction automatique,['https://actualitte.com/uploads/images/traduction-automatique-intelligence-artificielle-602e91b3bff39806239697-602ed72b73d64209909675.jpg'],2021-02-18T18:28,2021-03-01T17:44,,,,,,https://actualitte.com,https://actualitte.com/img/icon_v1.png,,,,,
https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmFjdHVpYS5jb20vYWN0dWFsaXRlL2h5cGVybWluZC1sYW5jZS11bi1ncmFuZC1jb25jb3Vycy1kZS1wcmV2aXNpb25zLXN1ci1sZXMtcHJvZ3Jlcy1kZS1saWEtanVzcXVlbi0yMDIzL9IBAA?oc=5,Hypermind lance un grand concours de prévisions sur les progrès de l'IA jusqu'en 2023 - Intelligence artificielle - Actu IA,2021-02-16,Intelligence artificielle - Actu IA,https://www.actuia.com,"« La prévision est l’essence de l’intelligence » répète souvent Yann LeCun, co-inventeur du Deep Learning. Paradoxalement, l’intelligence artificielle est",N/A,"« La prévision est l’essence de l’intelligence » répète souvent Yann LeCun, co-inventeur du Deep Learning. Paradoxalement, l’intelligence artificielle est","« La prévision est l’essence de l’intelligence » répète souvent Yann LeCun, co-inventeur du Deep Learning. Paradoxalement, l’intelligence artificielle est",N/A,N/A,"

Hypermind lance un grand concours de prévisions sur les progrès de l’IA jusqu’en 2023


Le 16 février 2021, par
ActuIA.




« La prévision est l’essence de l’intelligence » répète souvent Yann LeCun, co-inventeur du Deep Learning. Paradoxalement, l’intelligence artificielle est un domaine où les prévisions exaltées sont abondantes, à commencer par celle du grand Herbert Simon, lauréat du Prix Nobel et co-inventeur de la première IA, qui prédit en 1965 que « les machines seront capables, d’ici vingt ans, de faire tout le travail qu’un homme peut faire. »
Du 16 février au 9 avril 2021, Hypermind vous propose de mesurer votre intelligence en participant à un grand concours de prévisions sur les progrès de l’intelligence artificielle à l’horizon 2023.
Ce concours international, lancé simultanément aux États-Unis et en France, propose 26 questions pointues, basées sur l’état de l’art, et couvrant plusieurs thématiques :

Hardware et super-calcul
Tendances de recherche
Performances et benchmarks
Impact économique et financier

Le concours est subventionné par l’ONG californienne Open Philanthropy. Les
algorithmes d’intelligence collective d’Hypermind agrègeront toutes les prévisions en
pronostics collectifs qui seront publiés début avril.
Les meilleurs pronostiqueurs se partageront une dotation de près de 6.000 € (ou
$7.000).
Inscription et participation gratuite sur http://predict.hypermind.com/AI
A propos d’Hypermind
Installés en France et aux États-Unis depuis 2000, nous sommes des spécialistes et praticiens leaders de l’intelligence collective et supercollective numérique. Hypermind crée des marchés prédictifs pour ses clients sur tous les continents, et cultive un panel international de centaines de pronostiqueurs d’élite. Créée par Emile Servan-Schreiber (auteur de « Supercollectif », Ed. Fayard) et Maurice Balick, Hypermind aide les décideurs à libérer l’intelligence collective de leurs organisations et de leurs communautés.
« Parce que le monde ne deviendra meilleur que si nous devenons plus intelligents, ensemble. »




Recevez gratuitement l'actualité de l'intelligence artificielle
Suivez la Newsletter de référence sur l'intelligence artificielle (+ de 18 000 membres), quotidienne et 100% gratuite.  

Adresse e-mail 



Prénom



Nom



Organisme/Société


Fréquence

 Quotidienne


 Hebdomadaire - lundi matin


 Hebdomadaire - vendredi après-midi






Tout comme vous, nous n'apprécions pas le spam. Vos coordonnées ne seront transmises à aucun tiers.Laissez ce champ vide si vous êtes humain :  
 ",,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMimgFodHRwczovL2l0c29jaWFsLmZyL2NvbnRlbnVzL2FydGljbGVzLWRlY2lkZXVycy84NS1kZXMtcGVyc29ubmVzLXBlbnNlbnQtcXVlLWxpYS12YS1yZW1wbGFjZXItbGV0cmUtaHVtYWluLXN1ci1sZXMtcG9zdGVzLWxpZXMtYS1sYS1maW5hbmNlLWVuLWVudHJlcHJpc2Uv0gEA?oc=5,85 % des personnes pensent que l'IA va remplacer l'être humain sur les postes liés à la finance en entreprise - IT SOCIAL - IT Social,2021-02-18,IT Social,https://itsocial.fr,N/A,N/A,"Une étude mondiale d’Oracle révèle que la pandémie a augmenté l'anxiété, la tristesse et la peur en matière financière. Pour mieux s’en sortir face à la complexité financière, les consommateurs et les cadres dirigeants s’appuient de plus en plus sur la technologie plutôt que sur les personnes pour les aider. « La France a peur » pour […]",N/A,N/A,N/A,"



Partenaires  Oracle  85 % des personnes pensent que l’IA va remplacer l’être humain sur...
CONTENUSARTICLESMétiersFinanceTechIntelligence artificielleIntelligence ArtificielleIntelligence Artificielle - ArticlesPartenairesOracleRessources Humaines

85 % des personnes pensent que l’IA va remplacer l’être humain sur les postes liés à la finance en entreprise

Par Philippe Richard -   18/02/2021 



 





   
Une étude mondiale d’Oracle révèle que la pandémie a augmenté l'anxiété, la tristesse et la peur en matière financière. Pour mieux s’en sortir face à la complexité financière, les consommateurs et les cadres dirigeants s’appuient de plus en plus sur la technologie plutôt que sur les personnes pour les aider.


« La France a peur » pour parodier la phrase d'ouverture du journal télévisé de TF1 du 18 février 1976, prononcée par le présentateur Roger Gicquel le lendemain de l'arrestation du meurtrier de Philippe Bertrand dans l'affaire Patrick Henry.


45 ans plus tard, cette peur a pour origine la pandémie. 90 % des cadres dirigeants en France s'inquiètent de son impact sur leur entreprise, les préoccupations les plus courantes se concentrent sur la lenteur de la reprise économique ou la récession (47 %), les réductions budgétaires (31 %) et la faillite (31 %).


Mais cette pandémie a aussi un impact négatif sur la relation que les personnes entretiennent avec l'argent que ce soit chez eux ou au travail.  Réalisée par Oracle et Farnoosh Torabi, journaliste américaine et experte reconnue en gestion financière, cette étude confirme que 2020 a changé notre rapport à l'argent.


Craintes financières


Menée auprès de plus de 9 000 consommateurs et cadres dirigeants à travers 14 pays, dont la France, cette enquête met en lumière ce basculement dans le rôle et les domaines d’intervention des équipes finances en entreprise et des conseillers financiers auprès des consommateurs.


Parmi les cadres dirigeants français, l'anxiété et le stress liés à la finance ont augmenté de +400 % et la tristesse de +160 % ; auprès des consommateurs dans le monde, ce stress et cette anxiété ont plus que doublé pour s’établir à 70 %.


85 % des consommateurs français éprouvent des craintes financières, notamment la perte de leurs économies (40 %), la perte de leur emploi (39 %), et le fait de ne jamais pouvoir rembourser leurs dettes (27 %).


L'incertitude financière générée par la COVID-19 a chamboulé la confiance en soi concernant les capacités de gestion financière. Pour mieux s’en sortir face à la complexité financière, les consommateurs et les cadres dirigeants s’appuient de plus en plus sur la technologie plutôt que sur les personnes pour les aider.


Les personnes font désormais plus confiance aux robots (Intelligence artificielle, Bot, assistant numérique…) qu'à eux-mêmes pour gérer leurs finances. La moitié (56 %) des Français plébiscitent d’ailleurs l’Intelligence artificielle (IA) pour assurer cette tâche. 46 % pensent que cela se produira dans les 5 à 10 années à venir.


73 % des cadres dirigeants en France font plus confiance à une IA qu'à eux-mêmes pour gérer leurs finances, et 76 % font plus confiance à une IA qu’à leurs propres équipes financières.


Retard vis-à-vis de leurs concurrents


66 % des consommateurs pensent que l’IA peut les aider à gérer leurs finances personnelles en les aidant à détecter les fraudes (33 %), à réduire leurs dépenses (22 %) et en faisant des investissements boursiers (15 %).


Cette évolution aura des répercussions au niveau des entreprises. Une forte majorité (87 %) de cadres dirigeants affirment que les organisations qui ne revoient pas leurs processus financiers vont rencontrer des problèmes importants.


Une même proportion (86 %) de cadres dirigeants français pense que l’IA peut améliorer leur travail en détectant les fraudes (29 %), en créant des factures (20 %) et en effectuant des analyses coûts/bénéfices (21 %).


83 % des cadres dirigeants français affirment que les organisations qui ne revoient pas leurs processus financiers sont confrontées à des risques, avec un retard vis-à-vis de leurs concurrents (41 %), des rapports d’activités inexacts (27 %), des employés plus stressés (23 %), et une réduction de la productivité des employés (23 %).


« Les robots sont bien placés pour aider - ils sont doués avec les chiffres et n'ont pas le même lien émotionnel que les humains avec l'argent. Cela ne signifie pas que les professionnels de la finance vont disparaître ou être remplacés à 100 %, mais les recherches suggèrent qu'ils devraient se concentrer sur le développement de compétences non techniques supplémentaires au fur et à mesure que leur rôle évolue », déclare Farnoosh Torabi, et animatrice du podcast So Money.
    


MOTS CLESchatbotstress 
Philippe RichardJournaliste et reporter IT  
ARTICLES SIMILAIRESPLUS DE L'AUTEUR




 

Les applications restent toujours dans le collimateur des pirates 

 



 

Trois domaines dans lesquels la GenAI devrait avoir le plus d’impact 

 



 

La responsabilité écrasante des dirigeants sur les impacts d’lA 

 




 

Les attaques se multiplient, mais les entreprises ne sont pas prêtes 

 



 

NIS2 en approche : quelles mesures doivent être prises par les entités concernées ? 

 



 

DPO : une profession en expansion, mais les profils non spécialistes fragilisent les entreprises 

 




 

Intelligence artificielle : les Français restent méfiants 

 



 

Les défis de sécurité croissants dans les environnements conteneurisés et Kubernetes 

 



 

La croissance du numérique fléchit en 2024 

  

 




 


Livres blancs




Cloud Security for dummies 
Cybersécurité 08/03/2021 


 




Exploitez au maximum vos données RH : 4 idées pour tirer... 
Ressources Humaines 13/05/2020 


 




Une base de données qui s’autogère, c’est du temps libéré pour... 
Bases de données 13/05/2020 


 




L’intelligence artificielle de plus en plus présente dans les entreprises 
Intelligence Artificielle 13/05/2020 


 




Stratégie Oracle Autonomous Database 
Bases de données 02/08/2019 


   

 
",,http://schema.org,BreadcrumbList,,,,,,,,,,"[{'@type': 'ListItem', 'position': 1, 'item': {'@type': 'WebSite', '@id': 'https://itsocial.fr/', 'name': 'Accueil'}}, {'@type': 'ListItem', 'position': 2, 'item': {'@type': 'WebPage', '@id': 'https://itsocial.fr/category/partenaires/', 'name': 'Partenaires'}}, {'@type': 'ListItem', 'position': 3, 'item': {'@type': 'WebPage', '@id': 'https://itsocial.fr/category/partenaires/oracle-partenaire/', 'name': 'Oracle'}}, {'@type': 'ListItem', 'position': 4, 'item': {'@type': 'WebPage', '@id': 'https://itsocial.fr/partenaires/oracle-partenaire/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/', 'name': '85 % des personnes pensent que l’IA va remplacer l’être humain sur...'}}]",,,"[{'@type': 'WebPage', '@id': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/', 'url': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/', 'name': '85 % des personnes pensent que l’IA va remplacer l’être humain sur les postes liés à la finance en entreprise - IT SOCIAL', 'isPartOf': {'@id': 'https://itsocial.fr/#website'}, 'primaryImageOfPage': {'@id': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/#primaryimage'}, 'image': {'@id': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/#primaryimage'}, 'thumbnailUrl': 'https://itsocial.fr/wp-content/uploads/2021/02/robot-remplace-humain.jpg', 'datePublished': '2021-02-18T06:42:20+00:00', 'dateModified': '2024-06-10T15:03:58+00:00', 'author': {'@id': 'https://itsocial.fr/#/schema/person/be2d3bcb4a25e26f96c4092a9d06449a'}, 'breadcrumb': {'@id': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/#breadcrumb'}, 'inLanguage': 'fr-FR', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/']}]}, {'@type': 'ImageObject', 'inLanguage': 'fr-FR', '@id': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/#primaryimage', 'url': 'https://itsocial.fr/wp-content/uploads/2021/02/robot-remplace-humain.jpg', 'contentUrl': 'https://itsocial.fr/wp-content/uploads/2021/02/robot-remplace-humain.jpg', 'width': 704, 'height': 462}, {'@type': 'BreadcrumbList', '@id': 'https://itsocial.fr/contenus/articles-decideurs/85-des-personnes-pensent-que-lia-va-remplacer-letre-humain-sur-les-postes-lies-a-la-finance-en-entreprise/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://itsocial.fr/'}, {'@type': 'ListItem', 'position': 2, 'name': '85 % des personnes pensent que l’IA va remplacer l’être humain sur les postes liés à la finance en entreprise'}]}, {'@type': 'WebSite', '@id': 'https://itsocial.fr/#website', 'url': 'https://itsocial.fr/', 'name': 'IT SOCIAL', 'description': 'Média IT, Tech et Innovation', 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://itsocial.fr/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'fr-FR'}, {'@type': 'Person', '@id': 'https://itsocial.fr/#/schema/person/be2d3bcb4a25e26f96c4092a9d06449a', 'name': 'Philippe Richard', 'image': {'@type': 'ImageObject', 'inLanguage': 'fr-FR', '@id': 'https://itsocial.fr/#/schema/person/image/', 'url': 'https://itsocial.fr/wp-content/uploads/avatars/633/63d7c51fe70fd-bpfull.png', 'contentUrl': 'https://itsocial.fr/wp-content/uploads/avatars/633/63d7c51fe70fd-bpfull.png', 'caption': 'Philippe Richard'}, 'description': 'Journaliste et reporter IT'}]",,,,
